58,63,14,74,81
54,36,26,89,91
87,100,9,24,13
26,22,43,13,91
32,65,26,23,63
12,60,30,35,10
94,39,42,29,28
65,14,12,93,55
48,3,50,5,96
64,42,71,59,96
54,18,24,16,16
65,73,79,84,97
54,37,7,17,96
72,84,39,50,49
52,73,0,100,80
99,57,22,36,14
22,18,0,5,42
11,96,19,21,92
11,27,14,40,79
6,92,27,33,96
40,22,17,23,66
45,37,14,94,4
37,9,60,68,85
76,64,90,96,93
63,18,94,44,68
77,5,22,94,76
93,72,48,1,74
97,35,38,61,39
19,66,52,80,66
14,38,26,23,17
70,63,7,93,71
9,2,44,76,3
53,91,17,83,28
53,80,3,57,5
86,75,95,79,10
48,81,43,33,82
39,38,96,22,69
67,62,76,31,32
74,58,1,58,95
52,53,68,83,3
35,28,71,29,44
15,25,65,40,38
59,45,55,86,77
26,23,22,61,80
4,80,77,99,19
75,99,23,20,49
24,3,37,83,45
44,54,89,68,65
69,9,86,25,71
36,80,40,48,75
74,99,32,40,28
39,7,61,60,68
68,94,91,80,66
70,2,91,11,16
44,68,59,82,12
2,78,33,84,50
33,53,85,35,96
42,89,44,43,34
27,90,90,57,59
20,63,3,70,22
82,14,53,74,75
43,22,72,76,26
89,18,18,39,51
39,4,34,43,70
77,11,19,96,89
40,62,32,57,96
81,94,40,85,55
76,35,55,28,14
38,41,5,62,15
22,98,55,59,26
79,95,27,96,84
95,68,24,9,25
33,99,24,50,81
67,77,15,52,24
44,34,96,9,93
83,66,94,90,35
77,24,82,88,20
17,30,73,44,25
86,68,18,78,62
99,53,36,15,47
51,41,19,62,35
88,60,0,26,83
59,75,32,45,59
15,58,70,84,55
20,55,63,20,92
41,58,54,30,29
75,51,44,48,76
83,8,29,34,75
79,72,50,80,38
32,100,76,99,57
53,35,76,16,8
9,97,58,24,5
11,35,75,70,53
14,89,65,38,78
68,45,12,97,93
50,41,50,97,13
19,22,35,64,57
50,13,9,86,47
15,31,15,40,1
5,73,20,63,34
85,78,67,99,16
56,69,43,56,79
93,1,69,93,31
70,84,26,72,53
58,92,1,48,17
82,77,53,64,60
88,4,28,89,26
99,38,95,20,65
0,70,91,40,69
87,73,39,99,75
61,22,2,40,45
99,27,67,66,8
53,67,84,90,23
48,48,97,100,91
80,62,6,65,15
23,24,45,11,83
50,18,58,4,54
90,83,69,62,100
57,77,72,57,8
85,93,65,96,44
74,11,73,75,11
59,18,37,66,96
25,10,58,52,0
67,49,12,26,77
8,19,6,96,82
63,90,98,54,87
66,10,28,3,8
73,4,59,70,40
89,56,96,52,26
98,77,19,6,80
77,31,19,89,43
58,18,34,33,91
93,34,93,23,18
58,21,39,11,26
2,51,27,31,15
12,91,15,23,14
86,63,40,65,87
48,10,37,7,58
84,39,13,28,55
21,5,44,28,14
55,50,9,88,85
63,43,61,44,62
3,100,1,76,35
61,81,57,60,51
36,49,79,78,40
5,89,24,11,8
49,14,45,98,24
19,39,57,85,12
12,93,6,5,18
21,92,50,47,24
15,71,64,33,42
19,62,22,63,5
4,34,84,23,90
64,94,97,58,94
28,12,85,60,49
54,73,51,60,49
70,65,28,45,34
50,83,75,4,90
54,40,24,51,37
45,75,96,41,11
12,84,62,11,78
49,32,60,46,39
85,55,17,45,24
87,98,9,55,40
27,55,26,81,10
21,33,86,70,13
56,62,91,87,94
64,36,70,5,96
42,76,73,22,58
21,41,23,46,6
95,49,58,96,23
8,69,81,79,35
11,97,40,45,82
14,33,99,33,2
17,84,9,6,4
62,74,32,74,17
57,95,51,51,65
5,3,6,20,73
93,36,73,43,65
73,66,56,17,45
74,28,53,75,55
6,23,83,37,30
86,71,86,94,74
93,62,79,2,19
98,59,32,83,69
86,66,45,63,18
79,5,75,54,37
51,35,11,65,63
18,45,11,73,78
40,24,27,9,8
13,72,52,88,93
3,86,97,1,78
94,28,71,29,49
30,73,31,18,44
30,14,29,93,45
33,84,85,7,31
47,14,91,58,51
65,59,64,64,51
3,37,26,65,82
84,81,9,86,79
56,50,84,6,64
85,49,58,82,38
35,88,95,53,81
45,35,6,69,53
5,45,58,21,35
18,96,29,54,94
66,4,83,70,88
33,97,19,96,55
90,19,44,44,62
12,67,39,9,59
99,59,83,6,21
54,68,68,63,30
71,36,21,80,47
10,62,32,69,230
29,81,13,35,84
41,2,67,95,19
46,8,57,52,23
76,97,17,95,17
82,65,15,7,23
10,23,48,21,44
18,40,91,78,31
36,12,55,91,92
6,27,3,78,43
52,26,5,30,18
34,33,81,15,90
18,15,45,85,98
21,35,38,78,44
91,12,79,27,11
68,88,36,23,26
47,9,53,32,41
91,93,71,83,59
10,40,87,82,26
75,5,33,57,60
74,34,65,57,71
56,74,97,29,22
18,79,8,70,12
60,54,59,80,30
30,69,41,44,32
13,89,31,45,42
21,5,26,47,51
89,30,76,28,9
7,5,100,68,26
24,20,19,90,80
5,72,78,91,3
44,72,20,75,93
1,88,99,26,73
90,58,80,69,49
20,7,42,13,58
9,92,73,12,24
31,80,50,19,46
46,29,81,15,96
10,54,36,59,55
10,98,7,7,520
33,72,59,82,23
30,84,91,72,49
6,43,19,93,62
30,47,43,49,68
5,56,75,65,40
51,27,4,89,37
76,75,95,54,99
63,50,76,28,4
9,65,56,98,89
8,31,18,4,91
78,14,50,33,80
91,48,52,97,10
53,36,99,37,26
11,79,85,31,34
83,78,96,12,68
34,67,68,92,14
29,13,40,14,72
75,2,93,33,11
1,56,48,90,65
5,30,23,50,49
67,94,40,62,78
60,98,71,58,72
53,29,56,70,90
73,80,76,3,89
71,90,100,53,33
78,60,96,3,70
29,88,54,83,20
69,94,96,34,3
56,55,12,85,74
40,73,5,25,50
6,58,30,58,48
78,3,58,94,90
34,45,53,5,61
61,65,90,5,62
74,52,54,2,86
10,37,43,68,81
13,94,54,60,58
55,83,71,11,18
49,85,2,80,24
89,37,80,62,89
80,59,14,7,3
73,87,48,7,49
5,93,26,14,17
7,67,37,79,98
9,21,66,9,71
80,65,17,24,50
94,7,28,24,47
68,41,20,10,6
13,67,20,86,68
72,93,33,70,4
11,81,88,73,7
12,48,47,65,52
64,76,40,52,10
33,42,18,33,82
65,97,97,66,82
75,99,41,12,72
58,86,84,15,15
74,39,62,2,66
23,45,38,96,52
73,25,88,97,97
97,78,78,12,65
87,88,46,47,80
9,91,81,66,45
37,56,90,29,43
37,60,43,75,83
69,15,33,56,8
60,90,60,43,13
79,45,90,27,17
37,21,70,75,39
21,90,38,90,83
9,76,73,73,80
77,88,95,41,6
21,28,54,94,40
